tid	eid	vid	family	type
3530736	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE300
3530738	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE270
3530740	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE240
3530742	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE220
3530744	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE200
3530746	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE180
3530748	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE160
3530750	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE140
3530752	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE120
3530754	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE100
3530756	0	0	28 Staalprofielen- IPE,HEA,HEB 2d	IPE80
3531533	0	0	28 Staalprofielen- koker RHS-2d	K300/200/16
3531535	0	0	28 Staalprofielen- koker RHS-2d	K300/200/12.5
3531537	0	0	28 Staalprofielen- koker RHS-2d	K300/200/10
3531539	0	0	28 Staalprofielen- koker RHS-2d	K300/200/8
3531541	0	0	28 Staalprofielen- koker RHS-2d	K300/200/6.3
3531543	0	0	28 Staalprofielen- koker RHS-2d	K260/180/12.5
3531545	0	0	28 Staalprofielen- koker RHS-2d	K260/180/10
3531547	0	0	28 Staalprofielen- koker RHS-2d	K260/180/8
3531549	0	0	28 Staalprofielen- koker RHS-2d	K260/180/6.3
3531551	0	0	28 Staalprofielen- koker RHS-2d	K260/140/12.5
3531553	0	0	28 Staalprofielen- koker RHS-2d	K260/140/10
3531555	0	0	28 Staalprofielen- koker RHS-2d	K260/140/8
3531557	0	0	28 Staalprofielen- koker RHS-2d	K260/140/6.3
3531559	0	0	28 Staalprofielen- koker RHS-2d	K250/150/12.5
3531561	0	0	28 Staalprofielen- koker RHS-2d	K250/150/10
3531563	0	0	28 Staalprofielen- koker RHS-2d	K250/150/8
3531565	0	0	28 Staalprofielen- koker RHS-2d	K250/150/6.3
3531567	0	0	28 Staalprofielen- koker RHS-2d	K220/120/12.5
3531569	0	0	28 Staalprofielen- koker RHS-2d	K220/120/10
3531571	0	0	28 Staalprofielen- koker RHS-2d	K220/120/8
